,ltt,lgt,land_no,cluster
1450,13.902870363098923,100.7118439663994,89890,12
1451,13.90286058883151,100.71178448318548,89891,12
1452,13.902850566005773,100.711723472665,89892,12
1453,13.90283789089846,100.71165134702406,89893,12
1454,13.902818172012347,100.71153586583388,89894,12
1455,13.902808069529934,100.71146789006065,89895,12
1456,13.902797445820909,100.7114074012598,89896,12
1457,13.902786619259686,100.71134878086389,89897,12
1458,13.902777517404944,100.71128911366276,89898,12
1459,13.90276713529521,100.71122878212186,89899,12
1460,13.902757339013233,100.71116714809148,89900,12
1461,13.90274665662172,100.71110690074696,89901,12
1462,13.902736719049775,100.7110481308522,89902,12
1463,13.90272820665052,100.71098668538777,89903,12
1464,13.90271606473626,100.71092581290073,89904,12
1465,13.902705877026058,100.71086675223997,89905,12
1466,13.902696575178831,100.71080755352676,89906,12
1467,13.902684390518278,100.71073909991809,89907,12
1468,13.90265595585535,100.71056692942965,89908,12
1469,13.902644616155676,100.71049533240743,89909,12
1470,13.902634763761334,100.71043409275838,89910,12
1471,13.902623948505903,100.7103730567576,89911,12
1472,13.902615705826046,100.71031569802015,89912,12
1473,13.902605839401,100.71025732194911,89913,12
1474,13.902596045936994,100.71019665657865,89914,12
1475,13.902587143914364,100.71013643122178,89915,12
1476,13.902577370264856,100.71007745769964,89916,12
